run_id,run,method,seed,snapshot,step,checkpoint_fraction,layer,target_module,quantized_base,delta_direction,delta_magnitude_paper,delta_magnitude_rel,coefficient_update_rel,effective_weight_update_rel,quant_delta_direction,total_delta_direction,quant_delta_magnitude_paper,quant_delta_magnitude_rel,total_delta_magnitude_paper,total_delta_magnitude_rel
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,1,up_proj,False,0.018436461687088013,0.00912020355463028,0.01673106849193573,0.19486382603645325,0.19254091382026672,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,2,up_proj,False,0.018562065437436104,0.008979850448668003,0.016571104526519775,0.19565537571907043,0.1931699514389038,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,3,up_proj,False,0.017714979127049446,0.009023957885801792,0.017034657299518585,0.1909971386194229,0.18882006406784058,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,4,up_proj,False,0.0156851839274168,0.009117226116359234,0.017583107575774193,0.17898741364479065,0.17745718359947205,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,5,up_proj,False,0.015252393670380116,0.009154894389212132,0.017574520781636238,0.1762460619211197,0.17482644319534302,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,0,v_proj,False,0.01923832669854164,0.008975573815405369,0.027431907132267952,0.19645845890045166,0.1943846493959427,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,1,v_proj,False,0.01722295768558979,0.00844193808734417,0.02140556275844574,0.17975643277168274,0.17803597450256348,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,2,v_proj,False,0.030947377905249596,0.008497409522533417,0.025311367586255074,0.23111124336719513,0.22551530599594116,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,3,v_proj,False,0.019509371370077133,0.00889368075877428,0.02231748215854168,0.1938851773738861,0.19162145256996155,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,4,v_proj,False,0.018273837864398956,0.00871613621711731,0.020310143008828163,0.1793506145477295,0.17730101943016052,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,5,v_proj,False,0.023730285465717316,0.008551963604986668,0.024281904101371765,0.2137211263179779,0.21021315455436707,,,,,,
dora-seed43,DoRA (seed 43),DoRA,43,fraction_0.25_step_7989,7989,0.25,0,down_proj,False,0.00569838797673583,0.006442176643759012,0.006487690377980471,0.10576249659061432,0.10539454221725464,,,,,,
dora-seed43,DoRA (seed 43),DoRA,43,fraction_0.25_step_7989,7989,0.25,1,down_proj,False,0.005532340612262487,0.006444674450904131,0.006340168882161379,0.10574921220541,0.10498522222042084,,,,,,
dora-seed43,DoRA (seed 43),DoRA,43,fraction_0.25_step_7989,7989,0.25,2,down_proj,False,0.004879211075603962,0.006404354237020016,0.006315140053629875,0.0990057960152626,0.09877537935972214,,,,,,
dora-seed43,DoRA (seed 43),DoRA,43,fraction_0.25_step_7989,7989,0.25,3,down_proj,False,0.004860030021518469,0.0063210525549948215,0.006390286609530449,0.09850107878446579,0.09829272329807281,,,,,,
dora-seed43,DoRA (seed 43),DoRA,43,fraction_0.25_step_7989,7989,0.25,4,down_proj,False,0.005005648359656334,0.006392603274434805,0.006615997292101383,0.10001478344202042,0.09977757930755615,,,,,,
dora-seed43,DoRA (seed 43),DoRA,43,fraction_0.25_step_7989,7989,0.25,5,down_proj,False,0.00475184665992856,0.006465338636189699,0.006636584643274546,0.0970536544919014,0.09684649854898453,,,,,,
dora-seed43,DoRA (seed 43),DoRA,43,fraction_0.25_step_7989,7989,0.25,0,k_proj,False,0.004469402600079775,0.005713591352105141,0.004407341592013836,0.07395561039447784,0.07334613054990768,,,,,,
dora-seed43,DoRA (seed 43),DoRA,43,fraction_0.25_step_7989,7989,0.25,1,k_proj,False,0.0012029006611555815,0.005093622952699661,0.003993540536612272,0.0348668098449707,0.03504537045955658,,,,,,
